"Episode","Season","Role","Name"
1,1,"Writer","Marta Kauffman & David Crane"
1,1,"Writer","Marta Kauffman & David Crane"
2,1,"Writer","Marta Kauffman & David Crane"
3,1,"Writer","Jeffrey Astrof & Mike Sikowitz. "
3,1,"Transcript","guineapig"
4,1,"Writer","Alexa Junge"
4,1,"Transcript","guineapig"
5,1,"Writer","Jeff Greenstein & Jeff Strauss"
5,1,"Transcript","Mindy Mattingly Phillips"
6,1,"Writer","Adam Chase & Ira Ungerleider"
6,1,"Transcript","guineapig"
7,1,"Writer","Jeffrey Astrof and Mike Sikowitz."
7,1,"Transcript","Ruth Curran"
8,1,"Writer","Marta Kaufmann & David Crane"
8,1,"Transcript","guineapig"
9,1,"Writer","Jeff Greenstein & Jeff Strauss"
9,1,"Transcript","Mindy Mattingly Phillips"
10,1,"Writer","Adam Chase & Ira Ungerleider"
10,1,"Transcript","guineapig"
11,1,"Writer","Alexa Junge"
11,1,"Transcript","guineapig"
12,1,"Writer","Jeffrey Astrof, Mike Sikowitz, Adam Chase & Ira"
12,1,"Transcript","Jim & Tracy Lambers"
12,1,"Writer","Jeffrey Astrof, Mike Sikowitz, Adam Chase & Ira"
12,1,"Transcript","Jim & Tracy Lambers"
13,1,"Writer","Alexa Junge"
13,1,"Transcript","guineapig"
14,1,"Writer","Bill Lawrence"
14,1,"Transcript","Mindy Mattingly Phillips"
15,1,"Writer","Jeff Greenstein & Jeff Strauss "
15,1,"Transcript","Ruth Curran"
16,1,"Writer","Marta Kauffman & David Crane"
16,1,"Transcript","Mindy Mattingly"
17,1,"Writer","Marta Kauffman & David Crane"
17,1,"Transcript","Mindy Mattingly"
18,1,"Writer","Jeffrey Astrof and Mike Sikowitz. ."
19,1,"Writer","Jeffrey Astrof & Mike Sikowitz"
19,1,"Transcript","guineapig"
20,1,"Writer","Doty Abrams"
20,1,"Transcript","guineapig"
21,1,"Writer","Adam Chase and Ira Ungerleider"
21,1,"Transcript"," guineapig"
22,1,"Writer","Alexa Junge"
22,1,"Transcript","Mikael Hedberg"
23,1,"Story","David Crane & Marta Kauffman"
23,1,"Teleplay","Jeff Greenstein & Jeff Strauss"
23,1,"Transcript","Mindy Mattingly Phillips"
24,1,"Writer","Chris Brown"
24,1,"Transcript","Dan Silverstein"
1,2,"Writer","Jeff Astroff & Mike Sikowitz"
2,2,"Writer","Adam Chase & Ira Ungerleider"
2,2,"Transcript","Mindy Mattingly Phillips"
3,2,"Writer"," Michael Curtis and Greg Malins"
3,2,"Transcript"," Mindy Mattingly Phillips "
1,3,"Writer","Michael Curtis and Gregory S. Malins"
1,3,"Transcript","Eric Aasen "
2,3,"Writer","Ira Ungerleider"
2,3,"Transcript","Eric Aasen "
3,3,"Writer","Wil Calhoun"
3,3,"Transcript","Eric Aasen"
4,3,"Writer","Alexa Junge"
4,3,"Transcript","Eric Aasen "
5,3,"Writer","Scott Silveri & Shana Goldnerg-Meehan."
5,3,"Transcript","Eric Aasen "
6,3,"Writer","Marta Kauffman & David Crane"
6,3,"Transcript","Eric Aasen"
